품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
200804696,영트라셋정,Yungtracet Tab.,영진약품(주),"YUNGJIN PHARM. CO.,LTD",2008-04-25,의약품,727,정상,,아세트아미노펜/트라마돌염산염,"저치환도히드록시프로필셀룰로오스,포비돈,스테아르산마그네슘,콜로이드성이산화규소,오파드라이Ⅱ노란색(85F12347),분말셀룰로오스",,전문의약품,완제의약품,신고,제조,,장방형,,,15.5,6.4,N,"8806424019305,8806424019312,8806424019329,8806424019336",N02AJ13,200804696,,,Acetaminophen/Tramadol Hydrochloride
202002827,오르펜서방정,"Orphen SR Tab.(Acetaminophen, Tramadol Hydrochloride)",대우제약(주),daewoopharm,2020-04-21,의약품,5152,유효기간만료,2025-04-21,아세트아미노펜/트라마돌염산염,"저치환도히드록시프로필셀룰로오스,크로스포비돈,히프로멜로오스,콜로이드성이산화규소,포비돈,스테아르산마그네슘,오파드라이II노란색(85F420033)",,전문의약품,완제의약품,허가,제조,,,,,,,N,"8806496056000,8806496056017,8806496056024",N02AJ13,,,,Acetaminophen/Tramadol Hydrochloride
202002826,오르펜세미서방정,"Orphen Semi SR Tab.(Acetaminophen, Tramadol Hydrochloride)",대우제약(주),daewoopharm,2020-04-21,의약품,5151,정상,,아세트아미노펜/트라마돌염산염,"저치환도히드록시프로필셀룰로오스,크로스포비돈,히프로멜로오스,콜로이드성이산화규소,포비돈,스테아르산마그네슘,오파드라이II노란색(85F420033)",,전문의약품,완제의약품,허가,제조,,타원형,,,15.6,6.4,N,"8806496056109,8806496056116,8806496056123",N02AJ13,,,,Acetaminophen/Tramadol Hydrochloride
200805233,오르펜정,Orphen Tab,대우제약(주),daewoopharm,2008-05-08,의약품,587,정상,,트라마돌염산염/아세트아미노펜,"라우릴황산나트륨,오파드라이노란색(85F12347),저치환도히드록시프로필셀룰로오스(LH-11),미결정셀룰로오스,스테아르산마그네슘,전호화전분,오파드라이노란색(85F42138),옥수수전분,전분글리콜산나트륨,히드록시프로필셀룰로오스",,전문의약품,완제의약품,신고,제조,,장방형,,,15.5,6.4,N,"8806496028304,8806496028311,8806496028328,8806496028335",N02AJ13,,,,Tramadol Hydrochloride/Acetaminophen
202303351,오메코에프정,OmecoF Tab.,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,2023-12-15,의약품,5330,정상,,아세트아미노펜/슈도에페드린염산염/클로르페니라민말레산염,"미결정셀룰로오스,히프로멜로오스,유당수화물,이산화규소,산화티탄,폴리에틸렌글리콜6000,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,타원형,,,14.1,8.2,N,"8806452108309,8806452108316",R05X,,202303351,,Acetaminophen/Pseudoephedrine Hydrochloride/Chlorpheniramine Maleate
200001328,오메코정,Omeco Tab.,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,2000-11-02,의약품,327,유효기간만료,2024-01-01,아세트아미노펜/슈도에페드린염산염/클로르페니라민말레산염,"미결정셀룰로오스,히프로멜로오스,유당수화물,이산화규소,폴리에틸렌글리콜6000,산화티탄,크로스카멜로오스나트륨,스테아르산마그네슘,탤크,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806452040104,8806518022709,8806452040111,8806518022716",R05X,,200001328,,Acetaminophen/Pseudoephedrine Hydrochloride/Chlorpheniramine Maleate
201007341,오메코프에스캡슐,Omecough-S Cap.,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,2010-12-03,의약품,5015,정상,,아세트아미노펜/구아이페네신/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물,"유당수화물,콜로이드성이산화규소,스테아르산마그네슘,탤크,전분글리콜산나트륨,캡슐",,일반의약품,완제의약품,신고,제조,,장방형,,,19.10,6.63,N,"8806452041309,8806518055905,8806452041316,8806518055912",R05X,,201007341,,Acetaminophen/Guaifenesin/Pseudoephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate
201309579,오메콜에프캡슐,Omecol F Cap.,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,2013-10-04,의약품,5030,정상,,아세트아미노펜/덱스트로메토르판브롬화수소산염수화물/dl-메틸에페드린염산염/구아이페네신/클로르페니라민말레산염/카페인무수물,"유당수화물,콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨,캡슐",,일반의약품,완제의약품,신고,제조,,장방형,,,19,6.75,N,"8806452041002,8806518059606,8806452041019,8806518059613,8806452041026",R05X,,201309579,,Acetaminophen/Dextromethorphan Hydrobromide Hydrate/DL-Methylephedrine Hydrochloride/Guaifenesin/Chlorpheniramine Maleate/Anhydrous Caffeine
202501979,오소플루노즈캡슐,Orthoflu Nose Capsule,주식회사 제이비케이랩,"JBKLAB Co., Ltd",2025-07-29,의약품,5071,정상,,아세트아미노펜/카페인무수물/클로르페니라민말레산염/슈도에페드린염산염,"조합향료(천연베리허브향 CMS),저치환도히드록시프로필셀룰로오스,알긴산나트륨,스테아르산마그네슘,경질무수규산,미결정셀룰로오스PH101,미결정셀룰로오스PH102,캡슐",,일반의약품,완제의약품,신고,제조,,장방형,,,18.8,6.2,N,"8800789002316,8800789002309",R05X,,,,Acetaminophen/Anhydrous Caffeine/Chlorpheniramine Maleate/Pseudoephedrine Hydrochloride
202501161,오소플루오리엔스캡슐,Orthoflu Oriens,주식회사 제이비케이랩,"JBKLAB Co., Ltd",2025-05-13,의약품,5068,정상,,갈근탕 건조엑스(10→1)/아세트아미노펜/구아이페네신/클로르페니라민말레산염/노스카핀염산염수화물/카페인무수물,"알긴산나트륨,저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,스테아르산마그네슘,경질무수규산,조합향료(천연베리허브향(CMC)),캡슐",,일반의약품,완제의약품,신고,제조,,장방형,,,21.2,6.9,N,"8800789002101,8800789002118",R05X,,,,Galgeuntang Dried Extract (10→1)/Acetaminophen/Guaifenesin/Chlorpheniramine Maleate/Noscapine Hydrochloride Hydrate/Anhydrous Caffeine
